Year,Area,St,St 2
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,"BRd St, City Centre",
2011,,BRd St Birmingham,
2011,,BRd St Birmingham,
2011,,BRd St Birmingham,
2011,,BRd St Opposite Walkabout,
2011,,BRd St Outside Roccocco,
2011,,"BRd St, B'Ham",
2011,,"BRd St, B'Ham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, Birmingham",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre,",
2011,,"BRd St, City Centre, Birmingham",
2011,,"BRd St, City Centre, Birmingham",
2011,,"BRd St, City Centre, Birmingham",
2011,,"BRd St, City Centre, Birmingham",
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,"BRd St,City Centre",
2011,,"BRd St,City Centre",
2011,,"BRd St,City Centre",
2011,,BRd St,
2011,,BRd St Birmingham,
2011,,BRd Strret,
2011,,"BRdway Plaza, Ladywood Middleway",
2011,,"Bromsgrove St, Birmingham",
2011,,Brookvale Rd Witton,
2011,,Bull Ring,
2011,,Bull Ring,
2011,,"Bullring, City Centre",
2011,,"Burford Rd, Kingstanding",
2011,,"Calshott Rd, Great Barr",
2011,,Camborne Close,
2011,,"Canal Side, Soho Loop, Handsworth",
2011,,"Car Park, Avfc",
2011,,Carrs Lane,
2011,,Chiswell Rd,
2011,,Church Vale Rd,
2011,,"City Hospita,Dudley Rd",
2011,,City Hospital,
2011,,City Hospital,
2011,,City Hospital,
2011,,City Hospital,
2011,,City Hospital,
2011,,City Hospital,
2011,,City Hospital,
2011,,City Hospital Dudley Rd,
2011,,"City Hospital, Birmingham",
2011,,"City Hospital, Birmingham",
2011,,"City Rd, Birmingham",
2011,,City Tavern,
2011,,City Tavern Bishopsgate Stm,
2011,,Claythorn Ave,
2011,,College Rd,
2011,,Colmore Row,
2011,,Colmore Row,
2011,,"Colmore Row, Birmingham",
2011,,"Colmore Row, Birmingham",
2011,,"Constitution Hill, Birmingham",
2011,,"Corparation St, Birmingham",
2011,,Corporation St,
2011,,Corporation St,
2011,,Corporation St,
2011,,Corporation St,
2011,,Corporation St,
2011,,"Corporation St, Birmingham",
2011,,"Corporation St, Birmingham",
2011,,"Corporation St, Birmingham",
2011,,"Corporation St, City Centre",
2011,,"Corporation St, City Centre",
2011,,"Corporation St, City Centre",
2011,,"Corporation St, City Centre,",
2011,,Corporation St,
2011,,Coventry Entrance Bcfc,
2011,,Coventry Rd,
2011,,"Coventry Rd, Birmingham City Fc",
2011,,Dale End,
2011,,Dale End,
2011,,Dale End,
2011,,Dale End,
2011,,Dale End Birmingham,
2011,,Dale End City Centre,
2011,,"Dale End, Birmingham",
2011,,"Dale End, Birmingham",
2011,,"Dale End, Birmingham",
2011,,"Ddora Rd, Handsworth",
2011,,Digbeth,
2011,,Digbeth Coad Station,
2011,,Digbeth High St,
2011,,Digbeth High St,
2011,,"Digbeth High St, City Centre",
2011,,Dudley Rd,
2011,,Edgbaston St,
2011,,Edgbaston St,
2011,,Edmund St,
2011,,Ernest St City Centre Birmingham,
2011,,Essex St,
2011,,Essex St (Aston),
2011,,"Essex St, Birmingham",
2011,,"Essex St, City Centre",
2011,,"Etap Hotel Foyer, Birmingham",
2011,,Eva Rd,
2011,,Faisley St City Centre,
2011,,"Five Ways, Birmingham",
2011,,Flood Gate St Birmingham,
2011,,Formula One Hotel,
2011,,Fox Hollies Rd,
2011,,Gas St,
2011,,Gas St,
2011,,Gas St,
2011,,Gas St,
2011,,Gas St,
2011,,"Gas St,City Centre",
2011,,"Gatecrasher,BRd St",
2011,,"Gatescrasher, Bishopsgate, Birmingham",
2011,,Golden Hind Ph,
2011,,Golden Hind Pub Kingstanding Rd,
2011,,Gooch St North,
2011,,Grange Rd,
2011,,Grangers Lane Cradley Heath,
2011,,"Great Charles St, City Centre",
2011,,"Grosvenor Casino, Birmingham",
2011,,Grotersley St,
2011,,Hagley Rd,
2011,,Hall Rd,
2011,,Hall St,
2011,,"Hamstead Rd, Handsworth",
2011,,Handsworth Park,
2011,,Handsworth Police Station,
2011,,"Hawthorn Rd, Kingstanding, Birmingham",
2011,,Heath Mill Lane,
2011,,High St Harborne Birmingham,
2011,,"High St, ~Digbeth",
2011,,"High St, Digbeth",
2011,,"High St, Digbeth",
2011,,"High St, City Centre",
2011,,"High St,City Centre",
2011,,Hilden Rd,
2011,,"Hill St, Birmingham",
2011,,Hill St,
2011,,"Hill St, Birmingham",
2011,,"Hill St, City Centre",
2011,,"Hill St, City Centre",
2011,,"Hill St, City Centre",
2011,,"Hill St, City Centre",
2011,,Hockley Circus,
2011,,"Holiday Inn, Lionel St",
2011,,"Holiday Inn, Smallbrook Queensway,",
2011,,Holiday St,
2011,,Holly Rd,
2011,,"Holte St, Gosta Green",
2011,,Home Address,
2011,,Horsefair,
2011,,Horsefair Bristol St,
2011,,"Humer Tower,Francis St",
2011,,Hurst,
2011,,Hurst St,
2011,,Hurst St City Centre Birmingham,
2011,,"Hurst St, Bham",
2011,,"Hurst St, Birminhgam",
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,Hurst St,
2011,,"Hurst St, Birmingham",
2011,,"Hurst St, Birmingham",
2011,,"Hurst St, Birmingham",
2011,,"Hurst St, Birmingham",
2011,,"Hurst St, Birmingham",
2011,,"Hurst St, City Center",
2011,,"Hurst St, City Centre,",
2011,,"Hurst St,City Centre",
2011,,"Hurst St,City Centre",
2011,,Ibis Hotel,
2011,,Icc,
2011,,"Icc,BRd St",
2011,,In Arcadian Centre Bham,
2011,,Inge St,
2011,,Inge St  Hurst St,
2011,,"Islington Row, City Centre",
2011,,"Islington Row, Middleway",
2011,,"James Watt Queensway, Birmingham",
2011,,Kent St,
2011,,Kingstanding Rd,
2011,,Kingstanding Rd,
2011,,"Lady Well Walk, City Centre",
2011,,Ladywell Walk,
2011,,Ladywell Walk,
2011,,Ladywell Walk,
2011,,Ladywell Walk,
2011,,Ladywell Walk,
2011,,Ladywell Walk,
2011,,Ladywell Walk,
2011,,Ladywell Walk,
2011,,"Ladywell Walk, Birmingham",
2011,,Lattimer Place Winson Green,
2011,,"Lee Longlands, BRd St, Birmingham",
2011,,Linwood Rd H'Worth,
2011,,Lloyds BarAaiya BRd St,
2011,,"Lloyds Bar, BRd St",
2011,,Lodge Rd Winson Green,
2011,,Loft Lounge,
2011,,Long Acre Nechells,
2011,,Lower Bull St,
2011,,Lower Bull St,
2011,,"Lower Parade, Sutton",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Macdonalds, Bordesley Green East",
2011,,"Macdonalds, Ramp, City Centre, Birmingham",
2011,,"Mailbox, Birmingham",
2011,,"Mcdonald St, Birmingham",
2011,,"Millward Close, Small Heath",
2011,,"Mono Bar, Arcadian Centre",
2011,,"Mono Bar,Ladywell Walk, City Centre",
2011,,Moor St,
2011,,Moor St,
2011,,Moor St Entance To Bull Ring,
2011,,"Moore St, Birmingham",
2011,,"Moore St, City Centre, Birmingham",
2011,,"Moseley Park,Alcester St",
2011,,"Navigation St, Birmingham",
2011,,Navigation St,
2011,,"Near To Hair & Beauty, Soho Rd",
2011,,"New Meeting St,City Centre",
2011,,New St,
2011,,New St B'Ham City Centre,
2011,,New St City Centre,
2011,,New St Railway Station,
2011,,New St Railway Station,
2011,,New St Railway Station,
2011,,"New St, Birmingham",
2011,,New St,
2011,,New St,
2011,,New St,
2011,,New St,
2011,,New St,
2011,,New St,
2011,,New St,
2011,,New St,
2011,,New St  Stephenson St,
2011,,"New St City Centre, Birmingham",
2011,,New St Railwaty,
2011,,New St Station,
2011,,New St Station,
2011,,New St Station,
2011,,New St Station,
2011,,"New St Station, Birmingham",
2011,,"New St Station, Station Approach",
2011,,"New St, Birmingham",
2011,,"New St, Birmingham",
2011,,"New St, Birmingham",
2011,,"New St, City Centre",
2011,,"New St, City Centre",
2011,,"New St, City Centre",
2011,,"New St, City Centre",
2011,,Newtown Housing Centre,
2011,,Newtown Row,
2011,,"Next Clearance Store, Corporation St",
2011,,Nineva Rd Ayt Soho Rd,
2011,,Not Known,
2011,,OS Bham Crown Court,
2011,,OS Flairs BRd St,
2011,,"OS Flares Club, BRd St, Birmingham",
2011,,OS Gatecrasher BRd St,
2011,,"OS Mcdonalds, Ramp, City Centre",
2011,,OS New St Station,
2011,,"OS Oceania, Ladywell Walk, Birmingham",
2011,,"OS Reflex BRd St, City Centre",
2011,,OS The Crown Ph Station Rd,
2011,,OS Walkabout BRd St,
2011,,O2 Academy,
2011,,"O2 Academy, Horsefair",
2011,,"Oh Bar, BRd St, Birmingham",
2011,,"O'Neils, BRd St, Birmingham",
2011,,Os Birmingham Magistrates Court,
2011,,Os Dubliner Ph,
2011,,Outside Bliss BRd St,
2011,,Outside Bliss Nightclub,
2011,,Outside Bliss Nightclub,
2011,,"Outside Bliss,BRd St",
2011,,"Outside O Velvet, BRd St",
2011,,Outside Oceana Club,
2011,,Outside Reflex Nightclub,
2011,,Outside Revolution Bridge St Walsal,
2011,,Outside Rocket Club BRd St,
2011,,"Outside Walkabout,BRd St",
2011,,"O'Velvet, Nightclub, BRd St, Birmingham",
2011,,Oxhill Rd,
2011,,Pagoda Island,
2011,,Paradise Forum,
2011,,Paradise Forum City Centre Birmingham,
2011,,"Paradise Forum, Victoria Square, Birmingham",
2011,,Pershore St Car Park,
2011,,"Pershore St Rd, City Centre",
2011,,"Pershore St, City Centre",
2011,,"Pizza Hut, New St, Birmingham",
2011,,Quigley Ave,
2011,,"Rag Market, City Centre",
2011,,"Reflex On BRd St, Birmingham",
2011,,Regency Wharf,
2011,,"Risa Bar, Birmingham",
2011,,"Risa,BRd St",
2011,,"Rookery Rd, Handsworth",
2011,,"Rottersley St, Birmingham",
2011,,"Rotunda Island, City Centre",
2011,,Sainsburys Colmore Row,
2011,,Sandringham Rd,
2011,,Sandwell Hospital,
2011,,Sence In The Arcadian,
2011,,"Sense Nightclub, Arcadia, Birmingham",
2011,,Shadwell St,
2011,,"Shakespeare Bar, New St Station",
2011,,"Shakespeare Ph, New St Station",
2011,,"Sheepcote St, Birmingham",
2011,,"Sioho Rd, Handsworth",
2011,,"Slade Rd, Erdington",
2011,,Small Brook Queensway,
2011,,Smallbrook Queensway,
2011,,Smallbrook Queensway,
2011,,Smallbrook Queensway,
2011,,Smallbrook Queensway City Centre Birmingham,
2011,,"Smallbrook Queensway,City Centre",
2011,,Smethwick End,
2011,,Soho Hill,
2011,,"Soho Hill, Handsworth, Birmingham",
2011,,Soho Rd,
2011,,Soho Rd,
2011,,Soho Rd,
2011,,Soho Rd,
2011,,"Sommerfield Park, Winson Green",
2011,,Square Peg Ph,
2011,,"Square Peg,Corporation St",
2011,,"Star City, Aston",
2011,,"Star City, Birmingham",
2011,,"Star City, Nechells",
2011,,"Station Rd, City Centre",
2011,,Steelhouse Lane,
2011,,Steelhouse Lane,
2011,,Steelhouse Lane,
2011,,Steelhouse Lane,
2011,,Steelhouse Lane,
2011,,Steelhouse Lane,
2011,,Steelhouse Lane,
2011,,Steelhouse Lane,
2011,,Steelhouse Lane Police Station,
2011,,"Steelhouse Lane, Birmingham",
2011,,"Steelhouse Lane, City Centre, Birmingham",
2011,,Stephenson St,
2011,,Stephenson St,
2011,,"Stephenson St, Birmingham City",
2011,,"Stephenson St, City Centre",
2011,,Stephensons St,
2011,,Suffolk St Queensway,
2011,,"Sugar Suite, BRd St",
2011,,Summer Lane,
2011,,Summer Row,
2011,,Temple Row,
2011,,Temple Row,
2011,,Tennant St,
2011,,"Terrace Rd, Handsworth",
2011,,Tesco Aston Lane,
2011,,Tesco Springhill,
2011,,The Parade Sutton Coldfield,
2011,,"The Parade, Sutton Coldfield",
2011,,"The Ramp, Corporation St, Birmingham",
2011,,The Ramp,
2011,,"Thornhill Rd, Birmingham",
2011,,"Thornhill Rd, Handsworth",
2011,,Thorpe St At Hurst St,
2011,,Thorpe St,
2011,,Trocadero Public House OS,
2011,,"Turners Pallets, Hayhole Rd",
2011,,Upper Dean St,
2011,,"Upper Dean St, Birmingham",
2011,,"Upper Dean St, Birmingham City Centre",
2011,,"Upper Dean St, City Centre",
2011,,Upper Parade Sutton Coldfield,
2011,,Upper Parade Sutton Coldfield,
2011,,"Victoria Square, Bham",
2011,,"Victoria Square, City Centre",
2011,,"Waiverley Park,Handsworth",
2011,,Walkabout Bar BRd St,
2011,,"Walkabout Ph, BRd St, Birmingham",
2011,,"Walkabout Ph, BRd St, Birmingham",
2011,,"Walkabout, BRd St",
2011,,"Walsall Rd, Great Barr",
2011,,"Walsall Rd, Perry Barr",
2011,,Warf Rd Kings Norton,
2011,,Warwards Lane,
2011,,"Washington Drive, Handsworth Wood",
2011,,Washington St,
2011,,"Waterloo Rd, Smethwick",
2011,,"Waverhill Park, Handsworth",
2011,,"Waverhill Rd, Handsworth",
2011,,Way Entrance Villa Ground,
2011,,Wellington Rd,
2011,,Witton Arms,
2011,,Witton Rd,
2011,,Witton Rd,
2011,,Witton Rd Aston,
2011,,Wrottesley St,
2011,Coventry,Primrose Hill Coventry,
2011,,Albany Rd,
2011,,Aldbourne Rd,
2011,,Aldermans Green Rd,
2011,,Allesley Old Rd,
2011,,Almond Tree Ave,
2011,,Arbury Ave Coventry,
2011,,Arena Carpark A444,
2011,,Argyle St Coventry,
2011,,Armstrong Ave Stoke,
2011,,Ashorne Close,
2011,,Attoxhall Rd,
2011,,"Averley Rd, Daimler Green",
2011,,Awson St,
2011,,"Bandals Surgery, Foleshill Rd",
2011,,Bell Green Rd Junction A444,
2011,,"Bell Green Rd, Coventry",
2011,,"Bell Green Rd, Coventry",
2011,,Binley Rd,
2011,,Binley Rd,
2011,,Binley Rd,
2011,,Binley Rd,
2011,,Bishop St,
2011,,Blackhorse Lane,
2011,,Blythe Rd,
2011,,Bp Garage Ansty Rd,
2011,,Bramble St Coventry,
2011,,"BRd Park Rd, Coventry",
2011,,"Bredon Ave, Coventry",
2011,,BRdgate,
2011,,Bull Yard,
2011,,Bushberry Ave,
2011,,Butts Rd Coventry,
2011,,Cashs Lane,
2011,,Cauldon Rd,
2011,,Charter Ave,
2011,,Charter Ave Coventry,
2011,,Chester St,
2011,,Chesterton Rd,
2011,,"Cheveral Ave, Coventry",
2011,,Cliffbridge Rd,
2011,,"Clifton St,Coventry",
2011,,Coc St,
2011,,"Communal Landing At George Poole House, Coventry",
2011,,Compton Rd,
2011,,Concourse Near Mortimers,
2011,,Cook St,
2011,,Corporation St,
2011,,"Corporation St,Coventry",
2011,,Corporation St,
2011,,Coundon Rd,
2011,,Coventry,
2011,,Coventry Central Cells,
2011,,Coventry Central Front Office,
2011,,Coventry Central Pol Stn,
2011,,Coventry Central Police Station,
2011,,Coventry Central Police Station,
2011,,Coventry Central Ps,
2011,,Coventry Central Ps,
2011,,Coventry Railwat Station,
2011,,Coventry Railway Station,
2011,,Coventry Train Station,
2011,,Cox St,
2011,,Cross Rd,
2011,,Devonshire Arms,
2011,,Duckham Court,
2011,,Earlsdon High St,
2011,,"Elms Pub, Birmingham Rd",
2011,,Fairfax St,
2011,,Far Gosford St,
2011,,Far Gosford St,
2011,,Farndale Ave,
2011,,Farndale Ave,
2011,,Foleshill Rd,
2011,,Foleshill Rd,
2011,,Foleshill Rd,
2011,,Foleshill Rd,
2011,,"Foleshill Rd, Coventry",
2011,,"Four Pounds Ave, Coventry",
2011,,Friars Rd,
2011,,Front Of Coventry Central Police Station,
2011,,Front Office,
2011,,Front Office,
2011,,"Gala Bingo, Pool Meadow",
2011,,Gosford St,
2011,,Gosford St,
2011,,Gosford St,
2011,,Greyfriars St Coventry,
2011,,Gulson Rd Coventry,
2011,,Gulson Rd Coventry,
2011,,Hale St,
2011,,"Hales St, Coventry",
2011,,Hartfrod St,
2011,,Hayle St,
2011,,Hayles St,
2011,,Hedgefield Way,
2011,,Herald Way Coventry,
2011,,High St Coventry,
2011,,High St,
2011,,High St,
2011,,Hill St,
2011,,Hipswell Highway,
2011,,Holmesdale Rd,
2011,,Hurst Rd,
2011,,Ibis Hotel,
2011,,Ikea Car Park,
2011,,Ikea Plaza,
2011,,Iron Monger Row,
2011,,Jardine Crescent,
2011,,Jardine Crescent,
2011,,Jasrdine Crescent,
2011,,Jd Wetherspoon Earlsdon,
2011,,Jordan Well,
2011,,"Jordan Well, Coventry",
2011,,Jubilee Cresent,
2011,,Kirby Rd,
2011,,Lady Lane,
2011,,Lambeth Close,
2011,,Leader Close,
2011,,Lidice Place,
2011,,"Lincoln St,Coventry",
2011,,Littl Park St,
2011,,"Little Park St,Coventry",
2011,,"Little Park St,Coventry",
2011,,Little Park St Coventry,
2011,,Little Park St,
2011,,Little Park St,
2011,,Little Park St,
2011,,Little Park St,
2011,,Little Park St,
2011,,Little Park St,
2011,,Little Park St,
2011,,Little Park St,
2011,,Little Park St,
2011,,London Rd,
2011,,London Rd,
2011,,Longford Rd,
2011,,Lower Ford St,
2011,,Lower Ford St,
2011,,Lower Holyhead D Jtn With Spon St,
2011,,Lower Holyhead Rd Coventry,
2011,,Lower Holyhead Rd Coventry,
2011,,Lower Precinct Coventry,
2011,,Mafo,
2011,,Manor House Drive,
2011,,Market Way,
2011,,Mary Slessor St,
2011,,Masser Rd,
2011,,"Mcdonalds Restaurant A45,Coventry",
2011,,"Memorial Park, Coventry",
2011,,Middle Ride,
2011,,Mile Lane,
2011,,Mile Lane,
2011,,Millenium Place,
2011,,Millenium Place,
2011,,"Mint Casino, King William St",
2011,,Miranda Close,
2011,,Morris Rd,
2011,,Motor Museum,
2011,,New Union St,
2011,,Norman Place Rd,
2011,,Northy Rd,
2011,,OS Ccfo,
2011,,OS Coventry Central Police Station,
2011,,OS Gosford Arms,
2011,,Oak Gosford St,
2011,,Outside Coventry Central Ps,
2011,,Outside Foleshill Ps,
2011,,Outside Front Of Coventry Central Police Station,
2011,,Outside Heat Bar,
2011,,Outside Kasbars,
2011,,"Outside Of The Jewson Stand, Richo Arena, Coventry",
2011,,Owenford Rd,
2011,,"Palm Tree Ave, Wood End",
2011,,"Palmer Lane, Coventry",
2011,,"Palmer Lane, Coventry",
2011,,"Palmer Lane, Coventry",
2011,,"Penruddick Drive, Coventry",
2011,,Plymouth Close,
2011,,Pool Meadow,
2011,,Pool Meadow Bus Station,
2011,,Pool Meadow Bus Stn,
2011,,Poolmeadow,
2011,,Poolmeadow Bus Station,
2011,,Poolmeadow Bus Station,
2011,,"Poppy Court, Remembrance Rd, Willenhall, Coventry",
2011,,Primrose Hill St,
2011,,Primrose Hill St,
2011,,Primrose Hill St,
2011,,"Primrose Hill St,Coventry",
2011,,Princethorpe Way,
2011,,"Priory Fields, Coventry",
2011,,Priory Gardens,
2011,,Priory St,
2011,,Puma Way,
2011,,"Queen Mary'S Rd,Foleshill,Coventry",
2011,,Queen Marys Rd Coventry,
2011,,Queen Victoria Rd,
2011,,Radford Rd,
2011,,Radford Rd,
2011,,Raglan St,
2011,,Red Lane,
2011,,Remembrance Rd,
2011,,Richo Areana,
2011,,Richo Areana,
2011,,"Richo Arena, Coventry",
2011,,Ricoh Arena,
2011,,Ricoh Arena,
2011,,Ricoh Arena,
2011,,"Ridgethorpe, Willenhall, Coventry",
2011,,"Rileys Square, Bell Green",
2011,,Ring Rd,
2011,,Riverwalk Walk Wood End,
2011,,"Roland Ave,Holbrooks,Coventry",
2011,,Rotherhanm Rd,
2011,,"Sainsburys,Trinity St,Coventry",
2011,,Scots Lane,
2011,,Sewall Highway,
2011,,Sewall Highway,
2011,,Sewall Highway Coventry,
2011,,"Silver St,Coventry",
2011,,Sky Blue Way,
2011,,Sky Dome,
2011,,Sky Dome,
2011,,Sky Dome,
2011,,Sky Dome,
2011,,Sky Dome,
2011,,Sky Dome,
2011,,Sky Dome,
2011,,Sky Dome,
2011,,Sky Dome Concourse,
2011,,Sky Dome Concourse,
2011,,Sky Dome Concourse,
2011,,Sky Dome Concourse,
2011,,Sky Dome Concourse,
2011,,Sky Dome Concourse Covenmtry,
2011,,Sky Dome Concourse Coventry,
2011,,Sky Dome Concourse,
2011,,"Sky Dome, Coventry",
2011,,"Sky Dome, Coventry City Centre",
2011,,Sky Dome,
2011,,Sky Dome,
2011,,Sky Dome,
2011,,Skydome,
2011,,Skydome,
2011,,Skydome,
2011,,Skydome,
2011,,Skydome,
2011,,Skydome,
2011,,"Skydome, Coventry",
2011,,Skydome Car Park,
2011,,Skydome Car Park,
2011,,Skydome Complex,
2011,,Skydome Complex,
2011,,Skydome Complex,
2011,,"Skydome Complex, Coventry",
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,Skydome Concourse,
2011,,"Skydome Concourse,Coventry",
2011,,Skydome Concourse,
2011,,Skydome Coventry,
2011,,Skydome Coventry,
2011,,Skydome Coventry City Centre,
2011,,"Skydome, Coventry",
2011,,"Skydome, Coventry",
2011,,Sorell Close,
2011,,"Southbank Rd,Coventry",
2011,,Spom St Coventry,
2011,,Spon End,
2011,,"Spon End, Coventry",
2011,,"Spon St,Coventry",
2011,,"Spon St,Coventry",
2011,,Spon St Coventry,
2011,,Spon St Coventry,
2011,,Spon St Coventry,
2011,,Spon St Coventry,
2011,,Spon St Coventry,
2011,,Spon St Coventry,
2011,,Spon St Coventry,
2011,,Spon St,
2011,,Spon St,
2011,,Spon St,
2011,,Spon St,
2011,,Spon St,
2011,,Spon St,
2011,,St Georges Rd,
2011,,"St Georges Rd, Stoke",
2011,,St Lukes Rd Coventry,
2011,,Stonet Stanton Rd Police Station,
2011,,"Stoney Stanton Rd Police Station, Coventry",
2011,,Swanswell Park,
2011,,Tachbrook Close,
2011,,"Tarquin Close, Coventry",
2011,,Terry Rd,
2011,,"Terry Rd, Coventry",
2011,,The Bull Yard City Centre,
2011,,The Bullyard,
2011,,The Burges,
2011,,The Burgess,
2011,,The Burgess,
2011,,The Burgess,
2011,,The Butts Coventry,
2011,,The Butts Retreat Ph,
2011,,The Croft Longford,
2011,,"The Forum Medical Centre, Coventry",
2011,,Thimbler Rd,
2011,,Tile Hill Lane Coventry,
2011,,Torrington Ave,
2011,,Trinity Point Link,
2011,,Trinity St,
2011,,Trinity St,
2011,,Trinity St,
2011,,Trinity St City Centre Coventry,
2011,,University Hospital,
2011,,University Hospital,
2011,,University Hospital Coventry,
2011,,"Unniversity Of Warwick, Coventry",
2011,,Upper Spon St,
2011,,Vine St,
2011,,Vine St,
2011,,Vinecote Rd,
2011,,Wallace Rd,
2011,,Walsgrave Hospital,
2011,,Warwick Row,
2011,,Warwick University,
2011,,West Orchard,
2011,,West Orchards Circulatory Rd,
2011,,White St,
2011,,Willenhall Lane Coventry,
2011,,Willenhall Police Station Front Office,
2011,,Willenhall Ps,
2011,,Winnalthorpe,
2011,,Wood Way Lane Coventry,
2011,,Wroxall Drive,
2011,,Wroxhall Drive,
2011,Dudley,Albion St Brierley Hill,
2011,,Amblecote High St Stourbridge,
2011,,Arley Court,
2011,,Baptist End Rd Netherton,
2011,,"Bell St, Stourbridge",
2011,,Bell St,
2011,,"Bell St,Stourbridge",
2011,,Bhps,
2011,,"Birmingham St, Stourbridge",
2011,,Bramford Arms,
2011,,Brettle Lane,
2011,,Brickhouse Rd,
2011,,"Brisbane Rd, Smethwick",
2011,,BRdway Stourbridge,
2011,,"BRdway, Stourbridge",
2011,,"BRdway, Stourbridge",
2011,,"Burmese Way, Rowley Regis",
2011,,"Bus Station, Dudley",
2011,,Carpark Of Maybrook Hosue In Halesowen,
2011,,Carpark Of The Barley Mow High St Wollaston,
2011,,Castlegate Dudley,
2011,,Cinder Bank Island Netherton,
2011,,Court St,
2011,,"Courthouse Ph, Sedgeley",
2011,,Crabmill Carpark Oldswinford,
2011,,Crompton Rd,
2011,,"Crown Centre, Stourbridge",
2011,,Dudley Bus Station,
2011,,Dudley Police Station,
2011,,Dudley Rd,
2011,,"Dudley Rd, Brierley Hill",
2011,,"Edward Rutland Ph, High St, Stourbridge",
2011,,Enville Rd,
2011,,Fern Rd,
2011,,"Foster St,Stourbridge",
2011,,Front Office Bhps,
2011,,"Front Office, Stourbridge",
2011,,"Front Office, Stourbridge Police Station",
2011,,Hagley Rd,
2011,,"Halesowen Rd, Netherton",
2011,,Halesowen Town Centre,
2011,,"Hampden Close,Quarry Bank",
2011,,"Hereford Rd, Netherton",
2011,,High St Stourbridge,
2011,,High St Stourbridge,
