Year,Area,St,St 2
2011,,The Paer Tree Pub,
2011,,Trafalger Rd,
2011,,Wake Green Rd,
2011,,Ward End Rd,
2011,,Warwick Rd,
2011,,Warwick Rd,
2011,,Warwick Rd,
2011,,Warwick Rd,
2011,,Warwick Rd,
2011,,Warwick Rd Tysley,
2011,,Wash Lane,
2011,,Washford Heath Rd,
2011,,Washwood Heath Pub,
2011,,"Washwood Heath Rd, Washwood Heath, Bham",
2011,,Washwood Heath Rd,
2011,,Washwood Heath Rd,
2011,,Washwood Heath Rd,
2011,,Washwood Heath Rd,
2011,,"Watery Lane Middleway, Birmingham",
2011,,Wawrick Rd,
2011,,"Welshfarm Rd, Quinton",
2011,,Westley Rd,
2011,,"Westley Rd, Acocks Green",
2011,,White Hart Public House,
2011,,White Hart Public House,
2011,,"Whiteheart Pub, Gressell Lane",
2011,,"William Hill Bookmakers, Washwood Heath Rd",
2011,,"William Hill Bookmakers, Washwood Heath Rd",
2011,,William Hill Washwood Heath Rd,
2011,,Windward Rd,
2011,,Windward Rd,
2011,,"Wood End Rd, Erdington",
2011,,"Woodbridge Rd, Moseley",
2011,,Wright St,
2011,,Yardley Green Rd,
2011,,Yardley Rd Acocks Green,
2011,,Yardley Wood Rd,
2011,,Yardley Wood Rd,
2011,,Yew Tree Car Park,
2011,,Yew Tree Lane,
2011,,Yew Tree Public House Car Park,
2011,,"Armada Pub, Slade Rd, Erdington, Birmingham",
2011,,"Armarda Pub, Gravelly Hill",
2011,,"Armarda Pub, Gravelly Hill",
2011,,Badgers Bank Rd,
2011,,"Baldmoor Lake Rd, Erdington, Birmingham",
2011,,"Bandywood Rd, Kingstanding",
2011,,Beckenham Rd,
2011,,Beeches Walk,
2011,,Birmingham Rd,
2011,,Birmingham Rd,
2011,,"Birmingham Rd, Sc",
2011,,Birmingham Rd,
2011,,Birmingham Rd,
2011,,Birmingham Rd Sutton,
2011,,"Birmingham Rd, Erdington",
2011,,"Birmingham Rd, Sutton Coldfield",
2011,,"Birmingham Rd, Sutton Coldfield",
2011,,Bowling Green Close,
2011,,"Bracebridge Rd, Erdington",
2011,,Brassington Ave,
2011,,Bromford Lane,
2011,,"Bromford Lane, Erdington, B'Ham",
2011,,Brookvale Park Rd,
2011,,"Carhampton Rd, Falcon Lodge, Sutton Colfield",
2011,,Carshalton Rd,
2011,,Carshorlton Rd,
2011,,Chester Rd,
2011,,Chester Rd,
2011,,"Chester Rd, Halls Garden Centre",
2011,,Church Rd At Chester Rd,
2011,,"College Rd, Kingstanding, B'Ham",
2011,,"College Rd, Kingstanding, B'Ham",
2011,,"Copshill Court, Mount View, Sutton Coldfield",
2011,,"Dovedale Rd, Erdington, B'Ham",
2011,,"Downside Rd, Erdington, B'Ham",
2011,,"Eachelhurt Rd, Erdington",
2011,,Erdington Hall Rd,
2011,,Erdington Hall Rd,
2011,,Erdington High St,
2011,,"Fentham Rd, Erdington, B'Ham",
2011,,Finchley Rd,
2011,,"Finchley Rd, Kingstanding, B'Ham",
2011,,George Frederick Rd,
2011,,Golden Pond Take Away Aaiya Boldmere Rd,
2011,,Good Hope Hospital,
2011,,Gracechurch Centre,
